번호,제목,글쓴이,작성일,조회,추천,링크,본문,갤러리,날짜,닉네임,IP,상세날짜,댓글
1988513,남자 사주가 양년 양간이면 반은 먹고 들어가는거야,ㅇㅇ(185.236),2022-06-10,67.0,2.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=1988513&search_pos=-1980386&s_type=search_subject_memo&s_keyword=사주&page=7,아직도 모르고 있었냐,,,,,,
6205708,전두환 전대통령 사주에 금기운 쎄구나,찐보,2024-04-13,140.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=6205708&search_pos=-6170386&s_type=search_subject_memo&s_keyword=사주&page=1,"어쩐지 느낌이..ㅎ
- dc official App",,,,,,
10488717,사주명리 조아하는게,ㄹㅂ(223.62),2019-04-21,39.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=10488717&search_pos=-10455549&s_type=search_subject_memo&s_keyword=사주&page=8,"마이너 중에 마이너 취향이라 사람들이 편견가질거라 생각햇는데
역밍아웃하면 약간은 놀라지만 그러려니 해줌
근데 말 안하는게 좋은게 사주봐달라고 조르는 사람 생겨서 귀찬음  실력도 안되는뎅,,
- dc official App",,,,,,
9517009,와씨 ㅋㅋㅋㅋ ....나 재다녀인데,역갤러(124.62),2025-09-02,176.0,1.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=9517009&search_pos=-9460386&s_type=search_subject_memo&s_keyword=사주&page=3,"남친도 재다남이엇거든 사주가
근데 알고보니 나한테 음력생일을 말한거야
양력으로 돌려보니 인다남이노 어전지...ㅅㅂ",,,,,,
4728292,내 사주의 장점이 뭐임 ?,병진공주(106.101),2023-08-13,40.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=4728292&search_pos=-4710386&s_type=search_subject_memo&s_keyword=사주&page=25,"중3 이후로 시간을 허송세월 보내서
모르겠음",,,,,,
9699765,신년운세 봐준다 두명만 올려보샘,치요옷,2019-01-04,189.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=9699765&search_pos=-9665549&s_type=search_subject_memo&s_keyword=운세&page=1,- dc official App,,,,,,
5172948,브리트니 40살 넘도록 명의 가로챈 아빠 사주,ㅇㅇ(117.111),2023-11-04,74.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=5172948&search_pos=-5150386&s_type=search_subject_memo&s_keyword=사주&page=19,ㅇ,,,,,,
642167,인성용신이라고 공부가 잘되는게 아냐,ㅇㅇ(118.235),2021-11-30,727.0,14.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=642167&search_pos=-640386&s_type=search_subject_memo&s_keyword=사주&page=4,"인성을 잘 쓰는 사주가 공부를 즐겨하는거지.
예를 들어 몸이 태생자체가 비실비실 약체로 태어났는데
근육 많이 쓰는 철인 3종경기 이런거 백날 해봐야
고통이야.
타고나길 김종국처럼 그걸 즐겨해야 잘쓰는거지.
공부머리도 몸근육이랑 비슷해
정신노동이란것도 뇌가 공부에 최적화되어있는
사람이 효율도 높고 잘하는거지.
용신이랑 성분의 체급이 좋은거랑은 별개의 문제란거",,,,,,
3066186,장동민 같은사주중에 범죄자도 있을거야,글루미,2022-11-19,54.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=3066186&search_pos=-3050386&s_type=search_subject_memo&s_keyword=사주&page=3,"미월 무토면 양인살맞지?
거기다 상관 떴는데 참을거 다 참고 겁재짓 당해도 자기는 안하고 베풀고 삼
그래서 흉신과 쏠린사주가 역으로 장점이 많이 발현됨
지 수준에 따라 운영을하는거임",,,,,,
11834803,이사주 지금 대운안좋나 연옌사주인데,ㅇㅇ(221.142),2019-10-04,72.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=11834803&search_pos=-11805549&s_type=search_subject_memo&s_keyword=사주&page=16,잘생겻는데 못뜸,,,,,,
3751041,이 사람 사주가 그리 대단하냐?,ㅇㅇ(115.138),2023-03-05,62.0,1.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=3751041&search_pos=-3730386&s_type=search_subject_memo&s_keyword=사주&page=1,"이 언니랑 엮인 사람들.
좋은사람들이든 안좋은사람들이든
다들 ㅈㄴ 꼼짝을 못한다.........
항상 이언니한테 좋은 결과가 돼...
이 언니도 잘못 엄청 많이 했는데
그런건 유야무야 넘어가고
다른사람들만 들춰지고 욕먹음...
이유가 있는거임? 아....
그 다음 타겟이 난데
나 존나 조질라고 아득바득 이를 갈던데;
나 근데 한것도 없어 오히려 ㅈㄴ 오구구해주다가
뭔가 자꾸 점점 쎄해져서 발길 뚝 끊었더니
이제는 칼갈고 있는거 같음...",,,,,,
10511953,그런것도 사주에 나오냐?,ㅇㅇ(125.186),2019-04-25,32.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=10511953&search_pos=-10475549&s_type=search_subject_memo&s_keyword=사주&page=1,"원나잇이나 섹파 이런관계 아니고
서로 사귀는사이에서 같이 밤에자고나서 바로 이성이 마음식는 쓰레기들 자주 만나는것도 사주에 나오냐?
그럼 뭐 있으면 주로 그러는거 같냐",,,,,,
12209322,나이많은데 결혼잘하는 여자 욕하는게 상폐남들만은 아닐걸,ㅇㅇ(223.38),2019-11-16,74.0,1.0,https://gall.dcinside.com/board/view/?id=divination&no=12209322&search_pos=-12175549&s_type=search_subject_memo&s_keyword=사주&page=13,"나 아는 여자중 일찍 결혼해서 이혼했는데
자기친구가 늦은나이에 잘난 남자 만나니까 수다떨면서도
표정관리안되더라
둘다 늦게 결혼하라는 사주였고
이혼한거 말 안하고 남자 만나고 다니면서 20대때보다
더 잘난 남자 꼬인다고 후회함
다른건 내 착각일수 있지만
30넘어 만나는 남자가 20대때 만난 남자보다 더 잘난
남자라고 말한건 팩트임",,,,,,
9168882,니네 사이버대 가서 사주배울생각 없음?,역갤러(223.38),2025-07-02,32.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=9168882&search_pos=-9120386&s_type=search_subject_memo&s_keyword=사주&page=13,맨날 이렇게 뇌피셜말고,,,,,,
6703859,문과에 뭔 실력타령ㅋㅋ,ㅇㅇ(117.111),2024-06-20,52.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=6703859&search_pos=-6670386&s_type=search_subject_memo&s_keyword=사주&page=12,"문과는 실력이 영업력밖에 없음
이름 난 사주충도 관상 와꾸표정 눈치 이딴거 다합쳐서 보고 70퍼 이지랄 하는데
잘쳐줘서 70퍼가 다맞다쳐도
30퍼는 걍 사기당한거지ㅋㅋ",,,,,,
1211619,진짜 부자 사주 아는데 저 술사 블로그 유형 해당 안됨,ㅇㅇ(58.225),2022-02-11,821.0,8.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=1211619&search_pos=-1210386&s_type=search_subject_memo&s_keyword=사주&page=16,"정관다에 극신약 자월 병신일주인데
관인상생
대운 인비식으로 흐름
평생 기신운 없음
병원장 사모님이고
건물 몇채씩 갖고있음
걍 대운빨임
원국이 어떻던 대운이 무조건
신왕재왕보고 흔히 부자사주라고하는데
대운이 식재로 흐르는거 아닌이상 절대 부자는 못됨
우리 엄마가 신왕재왕인데
초년 인비운, 이제서야 관운인데
부자는 커녕...",,,,,,
5072129,뷔운보니까 다음해에 바람날듯,ㅇㅇ(39.7),2023-10-19,587.0,6.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=5072129&search_pos=-5050386&s_type=search_subject_memo&s_keyword=사주&page=19,"이번해에 자묘로좀 문란해질수있는데 대운도그렇고 세운도별로임
진해원진끼고 안그래도사주 축축한데 진토운와서 심리적으로안좋고
엄마와 여자문제로갈등심해질수있음 갑목이라 갑목한테 여자뺏길수있음 진토는 갑목한테더좋으니까.다른멤버들이 인기가더많아질일이
생기고 남의여자가눈에들어올수있음.여자를 뺏을시엔 그다음해인
을사년에 드러나게될듯.",,,,,,
